Threads,Matrix Size,Runtime (s),Speedup
8,40000,1.30477,7.49706
16,20000,0.178874,13.6917
16,40000,0.665862,14.6907
20,20000,0.146837,16.6789
20,40000,0.542628,18.027
40,20000,0.0958477,25.5518
40,40000,0.348061,28.1042
1,20000,2.45015,1
1,40000,9.7702,1
2,20000,1.24862,1.96229
2,40000,4.99008,1.95792
4,20000,0.636258,3.85088
4,40000,2.53445,3.85496
7,20000,0.372887,6.57075
7,40000,1.48195,6.59281
8,20000,0.328327,7.46254
8,40000,1.29899,7.52136
16,20000,0.167236,14.6509
16,40000,0.658934,14.8273
20,20000,0.134884,18.1648
20,40000,0.537816,18.1664
40,20000,0.0877442,27.9238
40,40000,0.340472,28.696
1,20000,2.44623,1
1,40000,9.76137,1
2,20000,1.29026,1.89592
2,40000,5.14626,1.89679
4,20000,0.677399,3.61122
4,40000,2.66759,3.65924
7,20000,0.416051,5.87965
7,40000,1.58673,6.1519
8,20000,0.368483,6.63867
8,40000,1.39776,6.9836
16,20000,0.187232,13.0652
16,40000,0.706086,13.8246
20,20000,0.147246,16.6133
20,40000,0.56349,17.3231
40,20000,0.0959091,25.5058
40,40000,0.377607,25.8506
1,20000,2.45014,1
1,40000,9.74192,1
2,20000,1.24965,1.96066
2,40000,4.99361,1.95088
4,20000,0.651321,3.7618
4,40000,2.59447,3.75488
7,20000,0.403706,6.06912
7,40000,1.52045,6.40725
8,20000,0.372634,6.57518
8,40000,1.33284,7.30913
16,20000,0.203198,12.0579
16,40000,0.711798,13.6864
20,20000,0.148635,16.4843
20,40000,0.565806,17.2178
40,20000,0.0904571,27.0862
40,40000,0.347668,28.0207
1,20000,2.4528,1
1,40000,9.7671,1
2,20000,1.24793,1.9655
2,40000,5.00924,1.94982
4,20000,0.68261,3.59327
4,40000,2.62751,3.71725
7,20000,0.423026,5.79823
7,40000,1.53834,6.34911
8,20000,0.383255,6.39993
8,40000,1.3425,7.2753
16,20000,0.208073,11.7882
16,40000,0.69145,14.1255
20,20000,0.161741,15.165
20,40000,0.553665,17.6408
40,20000,0.103114,23.7873
40,40000,0.353106,27.6605
1,20000,2.47175,1
1,40000,9.81543,1
2,20000,1.25285,1.9729
2,40000,5.00468,1.96125
4,20000,0.639481,3.86524
4,40000,2.53781,3.86768
7,20000,0.368969,6.69906
7,40000,1.46635,6.69379
8,20000,0.357315,6.91755
8,40000,1.33198,7.36907
16,20000,0.189942,13.0132
16,40000,0.683477,14.361
20,20000,0.157478,15.6959
20,40000,0.563346,17.4234
40,20000,0.0907397,27.24
40,40000,0.349971,28.0464
1,20000,2.51604,1
1,40000,9.89628,1
2,20000,1.24944,2.01373
2,40000,4.99345,1.98185
4,20000,0.652022,3.85882
4,40000,2.65383,3.72905
7,20000,0.389466,6.46022
7,40000,1.50346,6.58234
8,20000,0.358513,7.01798
8,40000,1.30913,7.55943
16,20000,0.18818,13.3704
16,40000,0.737027,13.4273
20,20000,0.155534,16.1767
20,40000,0.556828,17.7726
40,20000,0.0938515,26.8087
40,40000,0.357983,27.6445
1,20000,2.4591,1
1,40000,9.90768,1
2,20000,1.26406,1.9454
2,40000,5.05489,1.96002
4,20000,0.652267,3.77008
4,40000,2.60201,3.8077
7,20000,0.437163,5.62513
7,40000,1.51823,6.52579
8,20000,0.383518,6.41195
8,40000,1.34219,7.38173
16,20000,0.187318,13.1279
16,40000,0.871913,11.3632
20,20000,0.14929,16.472
20,40000,0.558131,17.7515
40,20000,0.0922358,26.661
40,40000,0.352173,28.133
1,20000,2.66281,1
1,40000,10.1515,1
2,20000,1.26564,2.10392
2,40000,5.03716,2.01531
4,20000,0.660216,4.03324
4,40000,2.61499,3.88203
7,20000,0.399094,6.67214
7,40000,1.52899,6.63934
8,20000,0.345531,7.70644
8,40000,1.3342,7.60867
16,20000,0.175887,15.1394
16,40000,0.662894,15.3138
20,20000,0.156881,16.9734
20,40000,0.552855,18.3619
40,20000,0.0970034,27.4507
40,40000,0.372644,27.2417
1,20000,2.46861,1
1,40000,9.83601,1
2,20000,1.27007,1.94368
2,40000,5.11164,1.92424
4,20000,0.649389,3.80144
4,40000,2.58523,3.8047
7,20000,0.402501,6.13318
7,40000,1.54795,6.35422
8,20000,0.327603,7.5354
8,40000,1.32479,7.42459
16,20000,0.177585,13.901
16,40000,0.671346,14.6512
20,20000,0.148983,16.5698
20,40000,0.554862,17.7269
40,20000,0.0926942,26.6318
40,40000,0.354104,27.7771
1,20000,2.45845,1
1,40000,9.80192,1
2,20000,1.23857,1.98491
2,40000,5.01852,1.95315
4,20000,0.651025,3.77628
4,40000,2.59753,3.77355
7,20000,0.378143,6.50138
7,40000,1.5046,6.51465
8,20000,0.330535,7.43779
8,40000,1.31202,7.47087
16,20000,0.17747,13.8528
16,40000,0.681097,14.3914
20,20000,0.156639,15.695
20,40000,0.637676,15.3713
40,20000,0.0976829,25.1677
40,40000,0.367537,26.6692
1,20000,2.46797,1
1,40000,9.80924,1
2,20000,1.24903,1.97591
2,40000,5.01288,1.95681
4,20000,0.652989,3.77949
4,40000,2.60316,3.7682
7,20000,0.399378,6.17953
7,40000,1.523,6.44073
8,20000,0.330338,7.47104
8,40000,1.31576,7.45521
16,20000,0.177553,13.8999
16,40000,0.658776,14.8901
20,20000,0.141865,17.3966
20,40000,0.554997,17.6744
40,20000,0.0903992,27.3008
40,40000,0.344933,28.4381
1,20000,2.47529,1
1,40000,9.84898,1
2,20000,1.25335,1.97494
2,40000,5.02986,1.9581
4,20000,0.636775,3.88722
4,40000,2.54437,3.87088
7,20000,0.397981,6.21961
7,40000,1.51987,6.48013
8,20000,0.327029,7.569
8,40000,1.30091,7.57084
16,20000,0.182823,13.5393
16,40000,0.687098,14.3342
20,20000,0.148908,16.6229
20,40000,0.584454,16.8516
40,20000,0.0881071,28.0941
40,40000,0.348102,28.2934
1,20000,2.44826,1
1,40000,9.80973,1
2,20000,1.25094,1.95713
2,40000,5.0006,1.96171
4,20000,0.651393,3.7585
4,40000,2.59684,3.77756
7,20000,0.46704,5.24208
7,40000,1.571,6.24426
8,20000,0.396253,6.17852
8,40000,1.33812,7.33097
16,20000,0.209331,11.6956
16,40000,0.695782,14.0989
20,20000,0.158379,15.4583
20,40000,0.601925,16.2973
40,20000,0.0933438,26.2284
40,40000,0.360669,27.1987
1,20000,2.46355,1
1,40000,9.82889,1
2,20000,1.31648,1.87132
2,40000,5.00256,1.96477
4,20000,0.652198,3.77731
4,40000,2.62926,3.73828
7,20000,0.461529,5.3378
7,40000,1.62325,6.05507
8,20000,0.388784,6.33656
8,40000,1.31373,7.48169
16,20000,0.176662,13.945
16,40000,0.669489,14.6812
20,20000,0.148761,16.5605
20,40000,0.565618,17.3773
40,20000,0.0911477,27.0281
40,40000,0.369283,26.6162
1,20000,2.45227,1
1,40000,9.81929,1
2,20000,1.26278,1.94197
2,40000,5.01278,1.95885
4,20000,0.652386,3.75893
4,40000,2.60669,3.76696
